iter	Passed	Remaining
783	114117	31440
784	114273	31297
785	114422	31153
786	114560	31005
787	114703	30859
788	114855	30715
789	114997	30568
790	115144	30423
791	115301	30281
792	115441	30134
793	115581	29987
794	115728	29842
795	115875	29696
796	116024	29552
797	116171	29406
798	116327	29263
799	116468	29117
800	116605	28969
801	116763	28826
802	116908	28681
803	117050	28534
804	117196	28389
805	117345	28244
806	117493	28099
807	117646	27955
808	117790	27809
809	117929	27662
810	118068	27515
811	118219	27371
812	118379	27228
813	118528	27083
814	118665	26936
815	118806	26789
816	118952	26644
817	119093	26497
818	119242	26352
819	119385	26206
820	119522	26059
821	119675	25915
822	119819	25769
823	119960	25622
824	120105	25476
825	120258	25332
826	120397	25185
827	120536	25039
828	120680	24893
829	120826	24747
830	120980	24603
831	121130	24459
832	121278	24313
833	121424	24168
834	121575	24023
835	121726	23879
836	121876	23734
837	122023	23589
838	122169	23443
839	122320	23299
840	122484	23156
841	122619	23009
842	122778	22866
843	122920	22719
844	123076	22576
845	123234	22432
846	123444	22298
847	123592	22153
848	123730	22006
849	123870	21859
850	124027	21715
851	124169	21569
852	124308	21422
853	124458	21277
854	124616	21133
855	124764	20988
856	124901	20841
857	125039	20694
858	125177	20547
859	125321	20401
860	125461	20254
861	125614	20109
862	125772	19966
863	125918	19820
864	126058	19673
865	126206	19528
866	126352	19382
867	126500	19237
868	126635	19090
869	126780	18944
870	126915	18796
871	127063	18651
872	127205	18505
873	127358	18360
874	127508	18215
875	127654	18069
876	127797	17923
877	127938	17777
878	128072	17629
879	128232	17486
880	128383	17341
881	128517	17193
882	128670	17049
883	128811	16902
884	128963	16758
885	129110	16612
886	129249	16465
887	129396	16320
888	129532	16173
889	129680	16027
890	129827	15882
891	129971	15736
892	130128	15592
893	130267	15445
894	130408	15299
895	130547	15152
896	130704	15008
897	130853	14863
898	131003	14717
899	131156	14572
900	131304	14427
901	131448	14281
902	131591	14135
903	131740	13990
904	131877	13843
905	132020	13697
906	132155	13550
907	132310	13405
908	132443	13258
909	132605	13114
910	132750	12969
911	132903	12824
912	133064	12679
913	133207	12533
914	133361	12388
915	133492	12241
916	133641	12096
917	133785	11950
918	133927	11804
919	134079	11659
920	134216	11512
921	134360	11366
922	134514	11221
923	134654	11075
924	134802	10929
925	134950	10784
926	135095	10638
927	135234	10492
928	135391	10347
929	135534	10201
930	135678	10055
931	135822	9909
932	135969	9764
933	136120	9618
934	136269	9473
935	136402	9326
936	136548	9180
937	136709	9036
938	136858	8890
939	136996	8744
940	137146	8598
941	137287	8452
942	137440	8307
943	137578	8161
944	137724	8015
945	137877	7870
946	138014	7724
947	138164	7578
948	138321	7433
949	138476	7288
950	138618	7142
951	138769	6996
952	138913	6850
953	139061	6705
954	139206	6559
955	139349	6413
956	139499	6267
957	139647	6122
958	139788	5976
959	139923	5830
960	140065	5684
961	140214	5538
962	140358	5392
963	140520	5247
964	140671	5102
965	140819	4956
966	140964	4810
967	141116	4665
968	141265	4519
969	141409	4373
970	141550	4227
971	141692	4081
972	141848	3936
973	142002	3790
974	142146	3644
975	142299	3499
976	142443	3353
977	142580	3207
978	142739	3061
979	142886	2916
980	143027	2770
981	143160	2624
982	143311	2478
983	143461	2332
984	143617	2187
985	143762	2041
986	143901	1895
987	144043	1749
988	144211	1603
989	144376	1458
990	144534	1312
991	144681	1166
992	144828	1020
993	144980	875
994	145127	729
995	145271	583
996	145417	437
997	145567	291
998	145726	145
999	145859	0
